Model design id,Date of installation,Departure - DAS ID,Expected service life,Additional information,Access code,Location text,Colour,End chainage,End date,Manufacturer,Owner of inventory item,Product name/id,Arup reference ID
MPSB-230,16/12/2021,,,,87/3,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM65
MPSB-231,18/01/2022,,,,87/2,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM66
MPSB-232,18/01/2022,,,,87/1,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM67
MPSB-233,18/01/2022,,,,87/0,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-SB-RMP-RFM-RFM68
MPNB-215,08/03/2022,,,,94/1,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM72
MPNB-216,13/01/2022,,,,94/2,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM73
MPNB-217,13/01/2022,,,,94/3,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM74
MPNB-218,02/09/2021,,,,94/4,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM75
MPNB-219,02/09/2021,,,,94/5,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM76
MPNB-220,22/05/2022,,,,94/6,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM77
MPNB-221,08/11/2021,,,,94/7,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM78
MPNB-222,01/09/2021,,,,94/8,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM79
MPNB-223,08/03/2022,,,,94/9,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM80
MPNB-224,08/03/2022,,,,95/0,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM81
MPNB-225,08/03/2022,,,,95/1,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM82
MPNB-226,14/09/2022,,,,95/2,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM83
MPNB-227,13/01/2022,,,,95/3,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM84
MPNB-228,13/01/2022,,,,95/4,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM85
MPNB-229,08/03/2022,,,,95/5,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM86
MPNB-230,08/03/2022,,,,95/6,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM87
MPNB-231,13/01/2022,,,,95/7,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM88
MPNB-232,14/01/2022,,,,95/8,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM89
