Model design id,Date of installation,Departure - DAS ID,Expected service life,Additional information,Access code,Location text,Colour,End chainage,End date,Manufacturer,Owner of inventory item,Product name/id,Section,Start chainage,Start date,Easting,Cross section position,Northing,Current maintenance contract,Currently maintained by,Supplier external reference id,System id,Civil 3D element id,Arup reference ID
MPNB-150,21/01/2022,,,,87/6,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,483978.123,,245791.602,,,,,588230,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM07
MPNB-151,08/03/2022,,,,87/7,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,483896.76,,245852.039,,,,,588227,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM08
MPNB-152,08/03/2022,,,,87/8,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,483817.92,,245910.588,,,,,588224,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM09
MPNB-153,21/01/2022,,,,87/9,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,483741.106,,245967.696,,,,,588221,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM10
MPNB-154,21/01/2022,,,,88/0,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,483657.605,,246029.709,,,,,588218,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM11
MPNB-155,21/01/2022,,,,88/1,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,483575.705,,246090.43,,,,,588215,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM12
MPNB-156,08/11/2021,,,,88/2,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,483498.511,,246144.491,,,,,587550,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM13
MPNB-157,08/11/2021,,,,88/3,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,483418.257,,246207.441,,,,,587547,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM14
MPNB-158,08/03/2022,,,,88/4,,OTHER,,,BLAKEDALE,,DISTANCE MARKER POST,,,,483332.331,,246271.766,,,,,775397,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM15
MPNB-159,08/03/2022,,,,88/5,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,483258.013,,246326.553,,,,,587541,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM16
MPNB-160,08/11/2021,,,,88/6,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,483178.51,,246385.63,,,,,587538,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM17
MPNB-161,08/11/2021,,,,88/7,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,483095.907,,246446.818,,,,,587535,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM18
MPNB-162,14/01/2022,,,,88/8,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,483018.492,,246504.428,,,,,587532,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM19
MPNB-163,08/11/2021,,,,88/9,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,482936.693,,246565.158,,,,,587529,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM20
MPNB-164,08/11/2021,,,,89/0,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,482856.421,,246624.802,,,,,587526,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM21
MPNB-165,08/11/2021,,,,89/1,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,482775.096,,246685.257,,,,,587523,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM22
MPNB-166,08/11/2021,,,,89/2,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,482693.552,,246745.797,,,,,587520,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM23
MPNB-167,08/03/2022,,,,89/3,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,482609.212,,246808.403,,,,,587517,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM24
MPNB-168,08/03/2022,,,,89/4,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,482532.242,,246867.815,,,,,587514,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM25
MPNB-169,21/01/2022,,,,89/5,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,482456.599,,246928.473,,,,,587511,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM26
MPNB-170,21/01/2022,,,,89/6,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,482395.742,,246979.048,,,,,587508,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM27
MPNB-171,21/01/2022,,,,89/7,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,482306.011,,247058.134,,,,,587505,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM28
MPNB-172,21/01/2022,,,,89/8,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,482230.152,,247127.715,,,,,587502,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM29
MPNB-173,08/03/2022,,,,89/9,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,482156.067,,247198.938,,,,,587499,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM30
MPNB-174,21/01/2022,,,,90/0,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,482088.893,,247266.173,,,,,587496,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM31
MPNB-175,22/05/2022,,,,90/1,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,482032.549,,247322.908,,,,,587493,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM32
MPNB-176,14/01/2022,,,,90/2,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,481945.424,,247410.405,,,,,587490,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM33
MPNB-177,14/01/2022,,,,90/3,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,481872.578,,247478.373,,,,,587487,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM34
MPNB-178,14/01/2022,,,,90/4,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,481804.39,,247552.979,,,,,587484,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM35
MPNB-179,14/01/2022,,,,90/5,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,481732.219,,247625.672,,,,,587481,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM36
MPNB-180,08/03/2022,,,,90/6,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,481662.599,,247695.746,,,,,587478,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM37
MPNB-181,08/03/2022,,,,90/7,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,481593.581,,247765.286,,,,,587475,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM38
MPNB-182,08/03/2022,,,,90/8,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,481524.621,,247834.783,,,,,587472,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM39
MPNB-183,08/03/2022,,,,90/9,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,481453.53,,247906.448,,,,,587469,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM40
MPNB-184,01/09/2021,,,,91/0,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,481381.727,,247978.835,,,,,581098,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM41
MPNB-185,01/09/2021,,,,91/1,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,481313.49,,248047.598,,,,,581095,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM42
MPNB-186,01/09/2021,,,,91/2,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,481243.757,,248117.846,,,,,581092,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM43
MPNB-187,20/01/2022,,,,91/3,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,481170.02,,248190.277,,,,,581089,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM44
MPNB-188,13/01/2021,,,,91/4,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,481100.811,,248261.985,,,,,581086,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM45
MPNB-189,14/01/2021,,,,91/5,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,481029.66,,248333.566,,,,,581083,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM46
MPNB-190,14/01/2021,,,,91/6,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,480958.751,,248405.109,,,,,581080,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM47
MPNB-191,08/03/2022,,,,91/7,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,480886.987,,248477.501,,,,,581077,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM48
MPNB-192,08/03/2022,,,,91/8,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,480814.398,,248550.554,,,,,581074,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM49
MPNB-193,13/01/2022,,,,91/9,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,480737.113,,248628.485,,,,,581071,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM50
MPNB-194,13/01/2022,,,,92/0,,OTHER,,,BLAKEDALE,,DISTANCE MARKER POST,,,,480662.795,,248703.402,,,,,582865,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM51
MPNB-195,08/01/2022,,,,92/1,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,480601.443,,248764.883,,,,,581065,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM52
MPNB-196,13/01/2022,,,,92/2,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,480535.454,,248831.509,,,,,581062,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM53
MPNB-197,13/01/2022,,,,92/3,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,480460.911,,248908.378,,,,,581059,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM54
MPNB-198,13/01/2022,,,,92/4,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,480388.003,,248987.528,,,,,581056,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM55
MPNB-199,13/01/2022,,,,92/5,,OTHER,,,BLAKEDALE,,DISTANCE MARKER POST,,,,480318.172,,249067.263,,,,,582897,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM56
MPNB-200,13/01/2022,,,,92/6,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,480250.339,,249149.566,,,,,581050,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM57
MPNB-201,13/01/2022,,,,92/7,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,480183.292,,249236.83,,,,,581047,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM58
