Model design id,Date of installation,Departure - DAS ID,Expected service life,Additional information,Access code,Location text,End chainage,End date,Illuminated,Manufacturer,Material,Owner of inventory item,Passively safe,Product name/id,Section,Start chainage,Start date,TSRGD diagram number,Type,Easting,Cross section position,Northing,Current maintenance contract,Currently maintained by,Supplier external reference id,System id,Civil 3D element id,Arup reference ID
HMPSB-32,18/01/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,480933.955,,248479.54,,,,,581212,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL05
HMPSB-33,18/01/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,480940.327,,248471.794,,,,,581215,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL06
HMPSB-34,18/01/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,482325.651,,247088.711,,,,,588459,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL07
HMPSB-35,18/01/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,482332.367,,247081.336,,,,,588465,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL08
HMPSB-36,18/01/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,482339.357,,247073.537,,,,,588468,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL09
HMPSB-37,20/10/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,483917.237,,245881.174,,,,,588492,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL10
HMPSB-38,20/10/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,483924.905,,245874.628,,,,,588495,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL11
HMPSB-39,20/10/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,483932.947,,245867.813,,,,,588498,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL12
HMPNB-34,19/08/2021,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,478868.394,,251405.231,,,,,765105,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL13
HMPNB-35,19/08/2021,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,478863.672,,251414.161,,,,,765102,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL14
HMPNB-36,19/08/2021,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,478858.745,,251423.736,,,,,765099,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL15
HMPNB-58,10/05/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,478234.433,,252278.883,,,,,765049,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL16
HMPNB-59,10/05/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,478228.826,,252287.292,,,,,765046,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL17
HMPNB-60,10/05/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,478223.324,,252295.607,,,,,765043,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL18
HMPNB-37,19/08/2021,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,477683.016,,252890.979,,,,,765069,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL19
HMPNB-38,19/08/2021,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,477676.709,,252898.777,,,,,765066,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL20
HMPNB-39,19/08/2021,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,477669.735,,252907.255,,,,,765063,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL21
HMPNB-40,19/08/2021,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,477010.968,,253511.801,,,,,765087,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL22
HMPNB-41,19/08/2021,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,477003.895,,253519.09,,,,,765084,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL23
HMPNB-42,19/08/2021,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,476996.836,,253526.363,,,,,765081,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL24
HMPNB-43,30/08/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,475519.491,,254805.428,,,,,568834,IT_SM:IT_SM-M:M1-J15-NB-RTS-BOL-BOL01
